filename,species,call_type
common_ostrich_000.wav,Common Ostrich,call
common_ostrich_001.wav,Common Ostrich,call
common_ostrich_002.wav,Common Ostrich,call
common_ostrich_003.wav,Common Ostrich,call
common_ostrich_004.wav,Common Ostrich,call
common_ostrich_005.wav,Common Ostrich,call
common_ostrich_006.wav,Common Ostrich,call
common_ostrich_007.wav,Common Ostrich,call
common_ostrich_008.wav,Common Ostrich,call
common_ostrich_009.wav,Common Ostrich,call
common_ostrich_010.wav,Common Ostrich,call
common_ostrich_011.wav,Common Ostrich,call
common_ostrich_012.wav,Common Ostrich,call
common_ostrich_013.wav,Common Ostrich,call
common_ostrich_014.wav,Common Ostrich,call
common_ostrich_015.wav,Common Ostrich,call
common_ostrich_016.wav,Common Ostrich,call
common_ostrich_017.wav,Common Ostrich,call
common_ostrich_018.wav,Common Ostrich,call
common_ostrich_019.wav,Common Ostrich,call
common_ostrich_020.wav,Common Ostrich,call
common_ostrich_021.wav,Common Ostrich,call
common_ostrich_022.wav,Common Ostrich,call
common_ostrich_023.wav,Common Ostrich,call
common_ostrich_024.wav,Common Ostrich,call
common_ostrich_025.wav,Common Ostrich,call
common_ostrich_026.wav,Common Ostrich,call
common_ostrich_027.wav,Common Ostrich,call
common_ostrich_028.wav,Common Ostrich,call
common_ostrich_029.wav,Common Ostrich,call
common_ostrich_030.wav,Common Ostrich,call
common_ostrich_031.wav,Common Ostrich,call
common_ostrich_032.wav,Common Ostrich,call
common_ostrich_033.wav,Common Ostrich,call
common_ostrich_034.wav,Common Ostrich,call
common_ostrich_035.wav,Common Ostrich,call
common_ostrich_036.wav,Common Ostrich,call
common_ostrich_037.wav,Common Ostrich,call
common_ostrich_038.wav,Common Ostrich,call
common_ostrich_039.wav,Common Ostrich,call
common_ostrich_040.wav,Common Ostrich,call
common_ostrich_041.wav,Common Ostrich,call
common_ostrich_042.wav,Common Ostrich,call
common_ostrich_043.wav,Common Ostrich,call
common_ostrich_044.wav,Common Ostrich,call
common_ostrich_045.wav,Common Ostrich,call
common_ostrich_046.wav,Common Ostrich,call
common_ostrich_047.wav,Common Ostrich,call
common_ostrich_048.wav,Common Ostrich,call
common_ostrich_049.wav,Common Ostrich,call
common_ostrich_050.wav,Common Ostrich,call
common_ostrich_051.wav,Common Ostrich,call
common_ostrich_052.wav,Common Ostrich,call
common_ostrich_053.wav,Common Ostrich,call
common_ostrich_054.wav,Common Ostrich,call
common_ostrich_055.wav,Common Ostrich,call
common_ostrich_056.wav,Common Ostrich,call
common_ostrich_057.wav,Common Ostrich,call
common_ostrich_058.wav,Common Ostrich,call
common_ostrich_059.wav,Common Ostrich,call
common_ostrich_060.wav,Common Ostrich,call
common_ostrich_061.wav,Common Ostrich,call
common_ostrich_062.wav,Common Ostrich,call
common_ostrich_063.wav,Common Ostrich,call
common_ostrich_064.wav,Common Ostrich,call
common_ostrich_065.wav,Common Ostrich,call
common_ostrich_066.wav,Common Ostrich,call
common_ostrich_067.wav,Common Ostrich,call
common_ostrich_068.wav,Common Ostrich,call
common_ostrich_069.wav,Common Ostrich,call
common_ostrich_070.wav,Common Ostrich,call
common_ostrich_071.wav,Common Ostrich,call
common_ostrich_072.wav,Common Ostrich,call
common_ostrich_073.wav,Common Ostrich,call
common_ostrich_074.wav,Common Ostrich,call
common_ostrich_075.wav,Common Ostrich,call
common_ostrich_076.wav,Common Ostrich,call
common_ostrich_077.wav,Common Ostrich,call
common_ostrich_078.wav,Common Ostrich,call
common_ostrich_079.wav,Common Ostrich,call
common_ostrich_080.wav,Common Ostrich,call
common_ostrich_081.wav,Common Ostrich,call
common_ostrich_082.wav,Common Ostrich,call
common_ostrich_083.wav,Common Ostrich,call
common_ostrich_084.wav,Common Ostrich,call
common_ostrich_085.wav,Common Ostrich,call
common_ostrich_086.wav,Common Ostrich,call
common_ostrich_087.wav,Common Ostrich,call
common_ostrich_088.wav,Common Ostrich,call
common_ostrich_089.wav,Common Ostrich,call
common_ostrich_090.wav,Common Ostrich,call
